,Unnamed: 0,GEOID,NAME,hhincomeE,hhincomeM,medageE,medageM,poppovertyE,poppovertyM,totalpopE,totalpopM,popwhiteE,popwhiteM,popblackE,popblackM,popaknaE,popaknaM,popasianE,popasianM,pophipiE,pophipiM,popotherE,popotherM,pop2ormoreE,pop2ormoreM,pctwhite,pctblack,pctakna,pctasian,pcthipi,pctother,pct2ormore,pctpoverty
26,27,6053,"Monterey County, California",60889,992,33.7,0.2,25795,1532,430201,,300610,4163,11488,480,3173,533,25195,654,2076,140,70177,4095,17482,1218,0.6987663905941641,0.026703796597404468,0.0073756220929286544,0.058565647220717755,0.00482565126533876,0.16312607362604922,0.04063681860339702,0.059960344118214506
27,28,6055,"Napa County, California",74609,1865,40.7,0.3,2828,648,140823,,103119,1532,2943,192,1221,587,10931,315,267,108,17274,1431,5068,625,0.7322596450863851,0.020898574806672204,0.008670458660872158,0.07762226340867615,0.0018959971027460003,0.12266462154619628,0.03598843938845217,0.020081946841069995
28,29,6057,"Nevada County, California",57429,2569,49.5,0.2,2430,490,98639,,90973,716,495,155,1128,314,1281,182,75,55,1686,615,3001,380,0.9222822615801052,0.0050182990500714725,0.011435639047435598,0.012986749662912236,0.0007603483409199201,0.017092630703879803,0.030424071614675738,0.02463528624580541
29,30,6059,"Orange County, California",78145,490,37.3,0.1,114040,4740,3132211,,1974749,7679,51519,1146,12938,1089,602013,2206,9552,518,362842,7473,118598,3702,0.630464869703861,0.016448125621166647,0.004130628492141813,0.19220065314884596,0.0030496029801312875,0.11584213196365123,0.0378639880902021,0.03640878599813359
30,31,6061,"Placer County, California",76926,1293,41.5,0.2,7881,1031,370571,,308414,1400,5473,354,1957,337,24862,664,585,172,11535,1443,17745,998,0.8322669609872332,0.014769099578758186,0.005281039261032299,0.06709105677454523,0.0015786448480857918,0.03112763815840959,0.047885560391935686,0.021267179568827566
31,32,6063,"Plumas County, California",50125,3068,51.7,0.4,401,177,18754,,16800,216,26,24,417,157,171,60,190,167,341,180,809,174,0.8958088941025915,0.0013863709075397248,0.022235256478617894,0.009118054814972805,0.010131172016636452,0.018182787671963314,0.043137464007678365,0.02138210515090114
32,33,6065,"Riverside County, California",57972,542,34.8,0.1,129320,4278,2323892,,1470294,8061,145025,1942,20205,1385,143067,1530,6915,456,436022,8022,102364,3461,0.6326860284384989,0.062406084275861355,0.008694466007886769,0.06156353221234033,0.0029756116032930964,0.18762575885626354,0.04404851860585604,0.05564802495124558
33,34,6067,"Sacramento County, California",57509,578,35.7,0.1,83170,2882,1479300,,876485,3970,146464,1892,11133,1067,224235,1934,15500,650,104392,3914,101091,3079,0.5924998310011492,0.09900899073886298,0.007525856824173596,0.15158182924356114,0.010477928750084499,0.0705685121341175,0.06833705130805111,0.05622253768674373
34,35,6069,"San Benito County, California",73814,3746,35.1,0.2,2285,463,58051,,48662,783,440,88,445,173,1517,158,110,54,4090,697,2787,504,0.8382629067544056,0.007579542126750616,0.007665673287281873,0.026132194105183373,0.001894885531687654,0.07045528931456822,0.04800950888012265,0.039361940362784446
35,36,6071,"San Bernardino County, California",54469,559,32.7,0.1,144343,4041,2106754,,1306582,7704,180733,2434,17510,1743,142332,1586,6933,425,356704,7953,95960,4023,0.6201872643887232,0.08578742463524455,0.008311364307365739,0.06755985748692064,0.003290844588404721,0.1693144999368697,0.04554874465647152,0.06851440652302072
