"","GEOID","NAME","hhincomeE","hhincomeM","medageE","medageM","poppovertyE","poppovertyM","totalpopE","totalpopM","popwhiteE","popwhiteM","popblackE","popblackM","popaknaE","popaknaM","popasianE","popasianM","pophipiE","pophipiM","popotherE","popotherM","pop2ormoreE","pop2ormoreM"
"41","06081","San Mateo County, California",98546,1232,39.5,0.2,14402,1259,754748,NA,404461,3153,18533,635,2440,467,203926,1383,10615,388,76854,3129,37919,1650
"42","06083","Santa Barbara County, California",65161,1202,33.7,0.1,18019,1495,439395,NA,325664,3393,8878,652,4162,671,23342,630,768,205,57857,3262,18724,1163
"43","06085","Santa Clara County, California",101173,661,36.8,0.1,42123,2452,1885056,NA,883775,5198,48003,1016,8742,903,648047,1904,7810,538,198893,5351,89786,2883
"44","06087","Santa Cruz County, California",70088,1935,37,0.2,8646,1177,270931,NA,214929,2526,2374,281,1595,507,12169,487,322,150,27342,2516,12200,979
"45","06089","Shasta County, California",45582,963,42.3,0.3,8691,746,179228,NA,155944,754,1759,240,4329,505,5273,292,71,54,3698,663,8154,752
"46","06091","Sierra County, California",43984,11767,55.2,1.5,60,49,2931,191,2809,180,2,3,33,30,1,3,14,19,14,20,58,46
"47","06093","Siskiyou County, California",38524,2078,47.9,0.4,2317,294,43668,NA,37355,253,709,84,1468,178,695,83,140,46,640,203,2661,249
"48","06095","Solano County, California",69227,1596,37.5,0.2,16186,1211,429596,NA,227173,2553,60716,1087,2118,371,65444,992,3579,341,38856,2562,31710,1798
"49","06097","Sonoma County, California",66833,1161,41.2,0.2,12506,1135,497776,NA,378638,2875,7848,604,5353,1050,19421,600,1602,281,60010,3129,24904,1371
"50","06099","Stanislaus County, California",51591,797,33.8,0.1,33014,1567,530561,NA,396063,3547,14505,687,3467,569,28764,933,3746,426,61006,3433,23010,1811
"51","06101","Sutter County, California",52943,1645,35.6,0.2,5515,632,95406,NA,67721,908,1861,249,859,208,14358,456,377,92,4389,745,5841,749
"52","06103","Tehama County, California",40687,2118,40.6,0.5,4347,808,63015,NA,54530,785,394,121,1736,481,883,91,3,11,2958,682,2511,450
"53","06105","Trinity County, California",35270,3838,50.6,0.4,503,146,13180,NA,11373,253,144,94,566,153,205,85,138,168,393,311,361,147
"54","06107","Tulare County, California",42789,1042,30.4,0.1,52007,2060,455769,NA,363181,3422,7261,520,5847,718,16004,1333,703,146,48026,3062,14747,1437
"55","06109","Tuolumne County, California",50731,1795,48.2,0.5,1171,282,53864,NA,47618,322,1023,133,882,190,706,94,106,58,1289,310,2240,362
"56","06111","Ventura County, California",78593,962,37.3,0.2,28577,1811,843110,NA,669728,3467,14847,602,6294,1057,59749,1013,1530,339,54528,2995,36434,1959
"57","06113","Yolo County, California",57663,1664,30.9,0.1,7234,1050,209671,NA,140668,1903,5161,566,1494,418,29092,513,856,185,20509,1812,11891,1031
"58","06115","Yuba County, California",48739,2031,32.2,0.2,5428,805,73897,NA,53217,826,2260,251,1059,251,5125,253,322,63,6035,767,5879,640
